name,gender,ratio,females,males,total
Wendy,F,100,250755,947,251702
Caleb,M,100,560,250921,251481
Cindy,F,100,249484,754,250238
Roger,M,100,942,248642,249584
Luis,M,99,1417,248075,249492
Vanessa,F,100,247069,983,248052
Evan,M,98,3720,239941,243661
Brianna,F,100,241165,412,241577
Morgan,F,85,205463,34877,240340
Chad,M,100,1039,238049,239088
Jasmine,F,99,236267,1253,237520
Vincent,M,100,978,235092,236070
Monica,F,100,234491,977,235468
Phillip,M,100,1097,233963,235060
Alex,M,97,7959,226471,234430
Grace,F,100,233032,423,233455
April,F,100,232426,667,233093
Valerie,F,100,230820,660,231480
Elijah,M,100,986,228696,229682
Erica,F,100,228139,1025,229164
Melanie,F,100,227776,609,228385
Dana,F,80,182495,44635,227130
Victor,M,99,1314,225722,227036
Joel,M,99,1934,224114,226048
Danny,M,99,1297,224591,225888
Luke,M,100,485,225059,225544
Derek,M,100,910,223548,224458
Jeffery,M,99,1189,222663,223852
Mason,M,99,2561,220969,223530
Janice,F,100,221621,597,222218
Paula,F,100,221264,715,221979
Carl,M,99,1445,220456,221901
Nathaniel,M,100,939,220735,221674
Alexandra,F,100,220497,859,221356
Ann,F,100,220635,599,221234
Isaac,M,100,622,218657,219279
Kristen,F,99,216004,2057,218061
Adrian,M,94,13900,201924,215824
Antonio,M,99,1660,213546,215206
Hunter,M,95,10634,204084,214718
Ricky,M,99,1627,212131,213758
Lawrence,M,100,1020,212488,213508
Michele,F,99,210796,2128,212924
Johnny,M,99,2031,210070,212101
Marcus,M,99,1281,210323,211604
Alicia,F,100,210934,666,211600
Russell,M,100,910,209955,210865
Kim,F,85,177759,31719,209478
Philip,M,100,682,207005,207687
Ian,M,100,711,205193,205904
Dustin,M,99,1380,202855,204235
Rodney,M,100,1017,202972,203989
Rhonda,F,100,202564,571,203135
Tony,M,99,2105,200893,202998
Lucas,M,100,400,200205,200605
Martin,M,100,954,198384,199338
Gerald,M,99,1095,196150,197245
Jesus,M,99,1913,195330,197243
Jared,M,100,768,195720,196488
Wayne,M,100,804,194861,195665
Ava,F,100,195197,238,195435
Jill,F,100,194044,477,194521
Holly,F,100,193179,796,193975
Sherry,F,100,192370,646,193016
Jayden,M,90,19764,169456,189220
Sheila,F,100,188591,502,189093
Joyce,F,100,187782,649,188431
Troy,M,99,2036,186381,188417
Katie,F,100,187967,369,188336
Judy,F,100,187647,523,188170
Shane,M,98,3402,184309,187711
Corey,M,95,8788,178694,187482
Jackson,M,100,525,186484,187009
Walter,M,99,1003,185810,186813
Leah,F,100,185148,417,185565
Connie,F,99,183188,2164,185352
Curtis,M,99,1181,184089,185270
Connor,M,99,1485,183682,185167
Brooke,F,99,182735,1676,184411
Debbie,F,100,183671,434,184105
Joe,M,98,3510,180046,183556
Billy,M,99,2224,179937,182161
Casey,M,59,75002,106825,181827
Stacy,F,89,161414,20276,181690
Isaiah,M,100,565,179923,180488
Willie,M,91,15320,163740,179060
Veronica,F,100,177772,813,178585
Dale,M,93,13348,165157,178505
Kristin,F,99,176857,1629,178486
Jimmy,M,99,1201,176536,177737
Chloe,F,100,176558,285,176843
Judith,F,100,175185,437,175622
Evelyn,F,100,173479,631,174110
Bobby,M,97,4363,169620,173983
Mia,F,100,173440,237,173677
Randall,M,99,1028,172449,173477
Martha,F,100,172741,671,173412
Anne,F,100,172752,460,173212
Tara,F,100,172602,543,173145
Steve,M,100,667,171045,171712
Lynn,F,86,146665,24446,171111
Shirley,F,99,169778,1097,170875
Renee,F,99,169102,1511,170613
Gloria,F,100,169752,788,170540
Arthur,M,99,999,168961,169960
Beverly,F,99,166776,942,167718
Blake,M,96,6330,160942,167272
Jeremiah,M,100,630,165667,166297
Bonnie,F,99,164518,1057,165575
Carrie,F,100,164697,523,165220
Betty,F,100,163285,574,163859
Allen,M,99,939,162720,163659
Cassandra,F,100,162605,377,162982
Devin,M,90,16546,146363,162909
Sydney,F,97,158289,4100,162389
Jane,F,100,161506,431,161937
Riley,F,50,81562,80257,161819
Lee,M,76,39022,122302,161324
Miguel,M,99,957,159995,160952
Stacey,F,92,146585,13373,159958
Laurie,F,100,158976,716,159692
Aiden,M,99,1711,157918,159629
Lindsey,F,97,154457,4885,159342
Brett,M,98,3245,155801,159046
Kaitlyn,F,100,158601,232,158833
Suzanne,F,100,158207,370,158577
Virginia,F,100,157264,473,157737
Julian,M,98,2425,155021,157446
Albert,M,99,859,156330,157189
Gavin,M,100,358,156629,156987
Chelsea,F,100,156327,395,156722
Roy,M,99,912,155003,155915
Wesley,M,99,1812,154004,155816
Charlotte,F,100,154677,233,154910
Cathy,F,100,153682,299,153981
Seth,M,100,489,153269,153758
Audrey,F,99,152694,954,153648
Caroline,F,100,153015,242,153257
Trevor,M,100,611,152376,152987
Haley,F,100,151788,680,152468
Chris,M,86,20957,129459,150416
Gina,F,100,149880,399,150279
Louis,M,99,885,148631,149516
Kelsey,F,97,143599,4686,148285
Erik,M,100,666,147582,148248
Chase,M,98,3265,144564,147829
Savannah,F,100,145440,186,145626
Mitchell,M,99,996,144220,145216
Hailey,F,100,144978,237,145215
Rose,F,100,144163,512,144675
Ruth,F,100,143880,490,144370
Glenn,M,99,864,143337,144201
Jay,M,99,1517,142044,143561
Molly,F,100,143114,360,143474
